scenario_id,source_video,scenario_file,odd_main_category,odd_events,num_odd_events,ego_avg_speed,ego_max_speed,ttc_min,ttc_mean,dto_min_vehicle,dto_min_pedestrian,collision_occurred,num_collision_agents,num_pedestrians,collision_time,collision_type,traffic_density,traffic_density_value,avg_num_vehicles,probability_of_collision,risk_ttc,risk_dto,illumination,visibility,precipitation_visible
scenario_014__intersection__v1,video_41.mp4,/scenarios/scenario_014.json,lane_change,['interaction_present'],1,51.68,75.43,3.81,8.15,6.17,8.73,False,0,0,,none,medium,7.5,7.5,0.2784,0.262,0.162,night,good,False
scenario_015__intersection__v3,video_41.mp4,/scenarios/scenario_015.json,intersection,['none'],0,60.48,77.68,3.87,8.63,7.17,15.36,False,0,1,,none,high,9.09,9.09,0.3056,0.259,0.14,dusk_dawn,moderate,False
scenario_016__lane_change__v3,video_59.mp4,/scenarios/scenario_016.json,intersection,['none'],0,32.9,61.0,10.35,13.58,8.89,9.84,False,0,0,,none,high,10.87,10.87,0.2327,0.097,0.113,night,good,False
scenario_017__intersection__v3,video_72.mp4,/scenarios/scenario_017.json,roundabout,['interaction_present'],1,33.94,63.46,10.62,15.05,7.26,22.76,False,0,3,,none,medium,7.39,7.39,0.204,0.094,0.138,dusk_dawn,poor,True
scenario_018__lane_change__v3,video_52.mp4,/scenarios/scenario_018.json,roundabout,['none'],0,20.25,30.88,7.94,11.71,10.48,9.49,False,0,1,,none,medium,4.58,4.58,0.1789,0.126,0.095,day,good,False
scenario_019__lane_change__v1,video_7.mp4,/scenarios/scenario_019.json,on_road_following,['none'],0,56.05,71.83,7.88,10.92,10.27,10.01,False,0,0,,none,high,11.77,11.77,0.2399,0.127,0.097,day,poor,False
scenario_020__intersection__v3,video_55.mp4,/scenarios/scenario_020.json,on_road_following,['none'],0,59.74,82.33,8.19,11.16,4.54,19.45,False,0,0,,none,low,1.27,1.27,0.1548,0.122,0.22,night,moderate,True
scenario_021__lane_change__v3,video_33.mp4,/scenarios/scenario_021.json,on_road_following,['none'],0,43.5,58.28,10.95,14.94,14.39,11.62,False,0,0,,none,medium,7.3,7.3,0.1571,0.091,0.069,dusk_dawn,poor,False
scenario_022__on_road_following__v3,video_69.mp4,/scenarios/scenario_022.json,roundabout,['none'],0,39.25,74.04,5.85,7.53,9.24,23.72,False,0,1,,none,low,2.07,2.07,0.1408,0.171,0.108,dusk_dawn,moderate,False
scenario_023__on_road_following__v2,video_56.mp4,/scenarios/scenario_023.json,intersection,['none'],0,32.71,48.04,5.9,10.3,3.78,19.18,False,0,0,,none,medium,4.26,4.26,0.2471,0.169,0.265,night,good,False
scenario_024__roundabout__v3,video_23.mp4,/scenarios/scenario_024.json,on_road_following,['none'],0,65.66,88.56,7.51,11.71,10.45,19.04,False,0,2,,none,medium,5.13,5.13,0.182,0.133,0.096,dusk_dawn,moderate,False
scenario_025__intersection__v1,video_48.mp4,/scenarios/scenario_025.json,intersection,['none'],0,36.41,46.83,11.84,16.19,13.19,10.01,False,0,0,,none,medium,4.34,4.34,0.1564,0.084,0.076,dusk_dawn,poor,True
scenario_026__on_road_following__v3,video_42.mp4,/scenarios/scenario_026.json,lane_change,['interaction_present'],1,58.5,71.05,8.61,9.95,2.67,15.63,False,0,0,,none,high,8.01,8.01,0.3436,0.116,0.374,day,good,True
scenario_027__roundabout__v2,video_31.mp4,/scenarios/scenario_027.json,on_road_following,['none'],0,55.73,62.17,6.59,9.32,11.67,10.02,False,0,0,,none,low,1.89,1.89,0.1266,0.152,0.086,day,poor,False
scenario_028__on_road_following__v1,video_63.mp4,/scenarios/scenario_028.json,on_road_following,['none'],0,28.66,39.14,5.25,8.45,11.29,18.2,False,0,0,,none,high,11.5,11.5,0.2627,0.19,0.089,dusk_dawn,good,False
scenario_029__intersection__v3,video_61.mp4,/scenarios/scenario_029.json,intersection,['none'],0,56.5,63.17,8.09,9.73,3.56,11.84,False,0,0,,none,low,2.04,2.04,0.1739,0.124,0.281,night,poor,False
scenario_030__lane_change__v1,video_70.mp4,/scenarios/scenario_030.json,intersection,['none'],0,43.71,52.13,7.42,10.32,4.25,13.68,False,0,0,,none,medium,7.77,7.77,0.2245,0.135,0.235,dusk_dawn,moderate,False
scenario_031__lane_change__v3,video_48.mp4,/scenarios/scenario_031.json,lane_change,['none'],0,20.77,58.44,7.51,10.67,10.89,17.32,False,0,3,,none,high,9.81,9.81,0.2408,0.133,0.092,dusk_dawn,moderate,False
scenario_032__on_road_following__v1,video_29.mp4,/scenarios/scenario_032.json,on_road_following,['none'],0,42.91,67.01,11.47,14.02,14.5,23.11,False,0,0,,none,low,1.76,1.76,0.0955,0.087,0.069,night,good,False
scenario_033__intersection__v3,video_29.mp4,/scenarios/scenario_033.json,on_road_following,"['pedestrian_near_ego_lane', 'interaction_present']",2,50.91,67.69,1.81,4.35,1.09,10.21,True,1,1,0:01:45,rear_end,medium,4.83,4.83,0.6471,0.552,0.921,dusk_dawn,poor,False
scenario_034__on_road_following__v1,video_9.mp4,/scenarios/scenario_034.json,on_road_following,['none'],0,34.1,45.31,9.76,13.98,14.88,13.25,False,0,0,,none,high,9.54,9.54,0.2213,0.103,0.067,night,good,False
scenario_035__intersection__v2,video_63.mp4,/scenarios/scenario_035.json,intersection,['none'],0,31.93,60.72,9.66,11.61,6.91,15.69,False,0,0,,none,medium,5.29,5.29,0.1851,0.104,0.145,dusk_dawn,good,False
scenario_036__lane_change__v1,video_61.mp4,/scenarios/scenario_036.json,lane_change,['none'],0,20.54,57.23,3.82,6.1,14.35,24.01,False,0,0,,none,medium,7.95,7.95,0.2258,0.262,0.07,day,good,True
scenario_037__on_road_following__v3,video_56.mp4,/scenarios/scenario_037.json,roundabout,['interaction_present'],1,47.69,60.13,11.52,15.64,3.48,23.62,False,0,2,,none,high,9.11,9.11,0.3062,0.087,0.288,night,moderate,False
scenario_038__lane_change__v3,video_7.mp4,/scenarios/scenario_038.json,on_road_following,"['cut_in:left', 'crossing_vehicle', 'cut_in:right']",3,27.15,58.8,1.74,3.14,0.31,6.46,True,1,2,0:01:11,rear_end,low,1.93,1.93,0.6454,0.576,1.0,night,poor,False
scenario_039__roundabout__v1,video_32.mp4,/scenarios/scenario_039.json,intersection,['none'],0,31.83,68.6,8.33,10.73,11.21,14.63,False,0,0,,none,high,8.76,8.76,0.2347,0.12,0.089,day,poor,False
scenario_040__lane_change__v1,video_55.mp4,/scenarios/scenario_040.json,intersection,"['interaction_present', 'crossing_vehicle']",2,44.63,50.03,1.44,2.66,0.35,1.4,True,2,3,0:01:05,side_impact,medium,4.14,4.14,0.7284,0.696,1.0,night,good,False
scenario_041__on_road_following__v2,video_71.mp4,/scenarios/scenario_041.json,on_road_following,['interaction_present'],1,68.9,93.36,5.9,7.08,14.02,23.38,False,0,0,,none,high,8.65,8.65,0.2739,0.169,0.071,day,poor,False
scenario_042__on_road_following__v1,video_31.mp4,/scenarios/scenario_042.json,intersection,['none'],0,54.79,75.7,8.65,11.99,13.72,5.91,False,0,0,,none,high,11.45,11.45,0.2283,0.116,0.073,night,moderate,False
scenario_043__lane_change__v1,video_52.mp4,/scenarios/scenario_043.json,on_road_following,"['cut_in:left', 'pedestrian_near_ego_lane']",2,36.78,47.72,1.79,4.35,0.5,0.91,True,1,0,0:01:06,rear_end,medium,5.99,5.99,0.6732,0.558,1.0,night,good,False
scenario_044__lane_change__v2,video_59.mp4,/scenarios/scenario_044.json,roundabout,['none'],0,54.24,64.93,11.2,15.49,14.35,19.51,False,0,1,,none,high,11.26,11.26,0.2166,0.089,0.07,night,poor,False
scenario_045__lane_change__v1,video_25.mp4,/scenarios/scenario_045.json,roundabout,['none'],0,40.56,72.78,7.32,12.26,6.9,19.99,False,0,0,,none,high,10.12,10.12,0.2583,0.137,0.145,day,good,False
scenario_046__on_road_following__v3,video_41.mp4,/scenarios/scenario_046.json,on_road_following,['interaction_present'],1,40.74,55.31,3.51,7.97,12.57,24.99,False,0,1,,none,high,9.46,9.46,0.323,0.285,0.08,day,poor,False
scenario_047__lane_change__v3,video_68.mp4,/scenarios/scenario_047.json,intersection,['none'],0,32.05,44.23,5.26,7.36,4.69,22.56,False,0,1,,none,low,3.96,3.96,0.1799,0.19,0.213,day,poor,False
scenario_048__on_road_following__v1,video_9.mp4,/scenarios/scenario_048.json,on_road_following,['none'],0,58.62,81.82,10.67,13.88,9.29,22.53,False,0,0,,none,low,2.47,2.47,0.11,0.094,0.108,dusk_dawn,good,False
scenario_049__lane_change__v1,video_73.mp4,/scenarios/scenario_049.json,intersection,['none'],0,51.97,85.14,11.13,14.6,14.75,17.16,False,0,1,,none,low,2.0,2.0,0.0964,0.09,0.068,dusk_dawn,poor,False
scenario_050__on_road_following__v3,video_11.mp4,/scenarios/scenario_050.json,lane_change,['interaction_present'],1,59.18,78.06,8.6,13.05,14.34,7.94,False,0,1,,none,low,3.84,3.84,0.1324,0.116,0.07,dusk_dawn,poor,True
scenario_051__roundabout__v2,video_27.mp4,/scenarios/scenario_051.json,roundabout,['interaction_present'],1,37.37,49.69,8.22,10.58,8.98,14.2,False,0,0,,none,medium,5.4,5.4,0.2071,0.122,0.111,day,moderate,False
scenario_052__lane_change__v1,video_39.mp4,/scenarios/scenario_052.json,lane_change,['none'],0,37.28,73.67,7.27,10.94,4.24,8.85,False,0,0,,none,low,2.86,2.86,0.166,0.138,0.236,night,good,False
scenario_053__on_road_following__v2,video_80.mp4,/scenarios/scenario_053.json,on_road_following,['interaction_present'],1,47.44,71.14,1.21,5.79,0.37,11.43,True,2,0,0:00:14,rear_end,medium,6.29,6.29,0.755,0.825,1.0,dusk_dawn,good,False
scenario_054__roundabout__v1,video_45.mp4,/scenarios/scenario_054.json,on_road_following,['none'],0,23.05,37.74,10.26,14.25,4.4,9.19,False,0,0,,none,medium,6.33,6.33,0.2073,0.098,0.227,day,moderate,False
scenario_055__roundabout__v1,video_57.mp4,/scenarios/scenario_055.json,roundabout,['interaction_present'],1,56.03,63.21,4.33,5.86,10.93,21.89,False,0,1,,none,high,10.54,10.54,0.3047000000000001,0.231,0.091,dusk_dawn,poor,False
scenario_056__on_road_following__v3,video_71.mp4,/scenarios/scenario_056.json,roundabout,['none'],0,33.46,51.67,3.18,5.47,4.75,11.55,False,0,0,,none,high,10.8,10.8,0.3489,0.314,0.211,dusk_dawn,good,False
scenario_057__intersection__v2,video_15.mp4,/scenarios/scenario_057.json,on_road_following,['none'],0,52.44,74.23,8.26,12.21,9.25,16.73,False,0,0,,none,medium,5.17,5.17,0.1808,0.121,0.108,dusk_dawn,poor,False
scenario_058__intersection__v2,video_37.mp4,/scenarios/scenario_058.json,intersection,['none'],0,48.54,66.0,11.88,15.3,5.08,7.04,False,0,0,,none,low,3.71,3.71,0.1327,0.084,0.197,dusk_dawn,moderate,False
scenario_059__intersection__v3,video_34.mp4,/scenarios/scenario_059.json,lane_change,['pedestrian_near_ego_lane'],1,60.29,67.24,2.18,3.39,0.22,24.95,True,2,3,0:00:24,side_impact,high,11.73,11.73,0.6682,0.458,1.0,day,good,False
scenario_060__lane_change__v2,video_6.mp4,/scenarios/scenario_060.json,on_road_following,['none'],0,47.84,72.84,5.52,9.6,4.43,11.47,False,0,0,,none,medium,6.58,6.58,0.2402,0.181,0.226,night,good,False
scenario_061__roundabout__v1,video_57.mp4,/scenarios/scenario_061.json,lane_change,['none'],0,58.39,66.44,7.55,12.28,6.17,16.88,False,0,0,,none,medium,6.0,6.0,0.2014,0.132,0.162,dusk_dawn,good,True
scenario_062__on_road_following__v1,video_20.mp4,/scenarios/scenario_062.json,on_road_following,['none'],0,36.12,69.46,5.29,9.02,11.88,16.91,False,0,0,,none,medium,5.53,5.53,0.2008,0.189,0.084,night,poor,True
scenario_063__intersection__v2,video_17.mp4,/scenarios/scenario_063.json,on_road_following,['none'],0,57.3,76.6,11.4,16.36,4.67,12.58,False,0,2,,none,high,9.6,9.6,0.2594,0.088,0.214,night,moderate,False
scenario_064__on_road_following__v2,video_27.mp4,/scenarios/scenario_064.json,intersection,['none'],0,28.18,38.93,10.33,13.99,8.8,12.18,False,0,1,,none,high,9.98,9.98,0.233,0.097,0.114,dusk_dawn,good,False
scenario_065__roundabout__v3,video_53.mp4,/scenarios/scenario_065.json,intersection,['interaction_present'],1,51.21,75.1,6.95,10.26,6.62,12.83,False,0,0,,none,low,1.73,1.73,0.1679,0.144,0.151,day,good,False
scenario_066__intersection__v2,video_4.mp4,/scenarios/scenario_066.json,intersection,['interaction_present'],1,66.99,93.96,1.17,2.73,1.23,15.67,True,1,2,0:01:34,pedestrian,medium,4.43,4.43,0.7106,0.855,0.812,night,moderate,True
scenario_067__intersection__v2,video_21.mp4,/scenarios/scenario_067.json,on_road_following,['none'],0,55.7,77.99,9.79,11.2,8.97,12.58,False,0,0,,none,medium,7.64,7.64,0.1741,0.102,0.111,night,good,False
scenario_068__lane_change__v1,video_26.mp4,/scenarios/scenario_068.json,lane_change,['none'],0,31.46,61.74,9.48,13.04,11.02,15.85,False,0,0,,none,medium,4.8,4.8,0.1693,0.105,0.091,night,moderate,False
scenario_069__intersection__v1,video_4.mp4,/scenarios/scenario_069.json,intersection,['none'],0,31.37,51.19,5.59,9.05,13.85,7.78,False,0,0,,none,low,3.82,3.82,0.1331999999999999,0.179,0.072,night,moderate,False
scenario_070__roundabout__v1,video_36.mp4,/scenarios/scenario_070.json,roundabout,['none'],0,48.26,77.64,11.3,15.13,3.98,16.53,False,0,1,,none,high,9.1,9.1,0.2705,0.088,0.251,dusk_dawn,poor,False
scenario_071__lane_change__v3,video_69.mp4,/scenarios/scenario_071.json,roundabout,['interaction_present'],1,26.14,39.4,4.49,6.23,12.89,11.64,False,0,0,,none,low,3.5,3.5,0.1776,0.223,0.078,day,good,False
scenario_072__roundabout__v1,video_75.mp4,/scenarios/scenario_072.json,roundabout,['stop'],1,36.76,69.86,0.51,2.84,0.72,23.4,True,2,0,0:01:50,rear_end,medium,4.82,4.82,0.825,1.0,1.0,day,poor,False
scenario_073__lane_change__v2,video_41.mp4,/scenarios/scenario_073.json,lane_change,"['cut_in:left', 'interaction_present']",2,65.64,79.33,1.66,3.32,0.24,20.61,True,2,0,0:01:21,pedestrian,low,3.42,3.42,0.6316,0.604,1.0,dusk_dawn,good,False
scenario_074__lane_change__v3,video_25.mp4,/scenarios/scenario_074.json,roundabout,['none'],0,27.43,46.94,3.77,8.76,8.53,16.91,False,0,0,,none,high,9.25,9.25,0.3011,0.265,0.117,day,poor,False
scenario_075__lane_change__v1,video_67.mp4,/scenarios/scenario_075.json,intersection,['none'],0,43.41,70.29,6.4,10.75,9.64,10.88,False,0,1,,none,medium,6.88,6.88,0.1936,0.156,0.104,night,moderate,False
scenario_076__on_road_following__v3,video_43.mp4,/scenarios/scenario_076.json,roundabout,['none'],0,27.76,39.13,10.76,15.54,6.85,10.41,False,0,1,,none,low,1.28,1.28,0.121,0.093,0.146,dusk_dawn,good,False
scenario_077__roundabout__v3,video_40.mp4,/scenarios/scenario_077.json,lane_change,['none'],0,40.4,64.71,5.28,7.07,8.57,16.9,False,0,0,,none,medium,7.26,7.26,0.2107,0.189,0.117,night,moderate,False
scenario_078__roundabout__v3,video_17.mp4,/scenarios/scenario_078.json,intersection,['none'],0,24.97,38.48,9.5,13.92,12.79,12.94,False,0,1,,none,medium,4.22,4.22,0.1654,0.105,0.078,night,poor,True
scenario_079__lane_change__v3,video_23.mp4,/scenarios/scenario_079.json,roundabout,['none'],0,56.8,91.48,4.1,8.61,10.36,19.08,False,0,1,,none,medium,4.69,4.69,0.2267,0.244,0.097,night,poor,False
scenario_080__on_road_following__v2,video_37.mp4,/scenarios/scenario_080.json,intersection,['none'],0,33.4,60.25,6.68,9.89,7.67,10.89,False,0,2,,none,high,10.55,10.55,0.259,0.15,0.13,night,poor,False
scenario_081__roundabout__v2,video_57.mp4,/scenarios/scenario_081.json,lane_change,['none'],0,29.11,51.07,7.61,11.58,11.08,13.05,False,0,0,,none,high,8.1,8.1,0.2394,0.131,0.09,dusk_dawn,good,False
scenario_082__lane_change__v3,video_22.mp4,/scenarios/scenario_082.json,on_road_following,['none'],0,28.58,43.11,3.17,7.82,3.53,16.53,False,0,0,,none,medium,7.1,7.1,0.3113,0.316,0.283,night,poor,False
scenario_083__roundabout__v1,video_31.mp4,/scenarios/scenario_083.json,roundabout,['none'],0,25.33,35.23,5.37,7.44,11.52,10.01,False,0,1,,none,medium,7.31,7.31,0.2005,0.186,0.087,day,good,False
scenario_084__intersection__v1,video_6.mp4,/scenarios/scenario_084.json,intersection,['none'],0,45.95,52.59,4.5,8.45,3.08,17.06,False,0,0,,none,medium,5.28,5.28,0.2863,0.222,0.325,night,poor,False
scenario_085__on_road_following__v2,video_54.mp4,/scenarios/scenario_085.json,intersection,['interaction_present'],1,56.08,82.44,11.54,14.13,14.4,7.7,False,0,0,,none,low,3.97,3.97,0.1205,0.087,0.069,dusk_dawn,poor,False
scenario_086__lane_change__v2,video_52.mp4,/scenarios/scenario_086.json,intersection,['none'],0,22.57,44.94,8.37,10.71,12.02,7.13,False,0,0,,none,high,9.01,9.01,0.2325,0.119,0.083,day,poor,False
scenario_087__on_road_following__v1,video_55.mp4,/scenarios/scenario_087.json,intersection,['interaction_present'],1,42.98,50.64,3.7,4.71,14.58,5.11,False,0,0,,none,medium,4.46,4.46,0.2537,0.27,0.069,day,poor,False
scenario_088__lane_change__v1,video_72.mp4,/scenarios/scenario_088.json,intersection,['none'],0,67.51,88.12,4.67,7.83,13.35,19.64,False,0,1,,none,high,8.62,8.62,0.2681,0.214,0.075,day,moderate,False
scenario_089__intersection__v2,video_68.mp4,/scenarios/scenario_089.json,roundabout,['interaction_present'],1,52.33,81.59,3.46,7.14,2.57,16.77,False,0,1,,none,medium,6.21,6.21,0.357,0.289,0.388,night,poor,True
scenario_090__lane_change__v3,video_58.mp4,/scenarios/scenario_090.json,intersection,['none'],0,34.87,72.22,11.74,16.52,8.16,22.24,False,0,1,,none,high,10.12,10.12,0.2306,0.085,0.122,dusk_dawn,moderate,False
scenario_091__lane_change__v2,video_32.mp4,/scenarios/scenario_091.json,roundabout,['none'],0,48.03,69.87,10.96,14.09,7.73,13.09,False,0,0,,none,high,9.84,9.84,0.2351,0.091,0.129,dusk_dawn,moderate,False
scenario_092__intersection__v2,video_57.mp4,/scenarios/scenario_092.json,on_road_following,['none'],0,51.29,87.3,8.54,10.47,2.32,22.4,False,0,0,,none,high,10.62,10.62,0.3364,0.117,0.432,dusk_dawn,moderate,False
scenario_093__intersection__v2,video_43.mp4,/scenarios/scenario_093.json,roundabout,['none'],0,23.5,28.83,3.47,4.83,2.49,14.6,False,0,0,,none,low,3.99,3.99,0.2758,0.288,0.402,dusk_dawn,good,False
scenario_094__intersection__v1,video_30.mp4,/scenarios/scenario_094.json,lane_change,['none'],0,41.07,71.88,5.15,6.59,6.61,10.74,False,0,0,,none,low,3.57,3.57,0.1629,0.194,0.151,dusk_dawn,good,False
scenario_095__intersection__v1,video_54.mp4,/scenarios/scenario_095.json,lane_change,['interaction_present'],1,22.26,31.09,6.52,8.02,14.43,20.96,False,0,0,,none,medium,7.47,7.47,0.2069,0.153,0.069,night,poor,False
scenario_096__lane_change__v2,video_8.mp4,/scenarios/scenario_096.json,intersection,['interaction_present'],1,43.37,69.84,4.5,9.47,5.01,23.85,False,0,1,,none,medium,6.64,6.64,0.2738,0.222,0.2,night,moderate,True
scenario_097__on_road_following__v3,video_49.mp4,/scenarios/scenario_097.json,lane_change,['none'],0,21.84,60.34,10.44,14.64,10.19,9.33,False,0,0,,none,medium,7.57,7.57,0.1678,0.096,0.098,day,moderate,False
scenario_098__roundabout__v2,video_54.mp4,/scenarios/scenario_098.json,intersection,['none'],0,57.91,87.27,4.39,8.65,4.92,9.48,False,0,0,,none,medium,7.52,7.52,0.2521,0.228,0.203,night,good,False
scenario_099__roundabout__v2,video_63.mp4,/scenarios/scenario_099.json,on_road_following,['none'],0,39.56,54.11,7.29,8.47,13.08,5.71,False,0,0,,none,high,11.25,11.25,0.2376,0.137,0.076,night,moderate,True
scenario_100__lane_change__v3,video_22.mp4,/scenarios/scenario_100.json,lane_change,['none'],0,38.63,52.73,9.51,12.49,3.05,9.4,False,0,1,,none,high,10.36,10.36,0.3001,0.105,0.327,day,poor,False
scenario_101__on_road_following__v2,video_76.mp4,/scenarios/scenario_101.json,on_road_following,['none'],0,65.33,90.32,8.96,12.13,13.24,19.68,False,0,0,,none,high,10.55,10.55,0.2276,0.112,0.076,day,poor,False
scenario_102__lane_change__v1,video_60.mp4,/scenarios/scenario_102.json,intersection,['none'],0,55.42,89.71,9.28,13.0,10.04,20.05,False,0,0,,none,high,10.69,10.69,0.2332,0.108,0.1,day,moderate,False
scenario_103__lane_change__v2,video_28.mp4,/scenarios/scenario_103.json,lane_change,['none'],0,20.26,53.96,5.06,9.69,2.01,16.12,False,0,1,,none,low,3.12,3.12,0.268,0.198,0.496,night,moderate,False
scenario_104__lane_change__v2,video_54.mp4,/scenarios/scenario_104.json,roundabout,['none'],0,51.59,65.68,8.71,11.87,12.14,7.14,False,0,1,,none,high,11.59,11.59,0.2306,0.115,0.082,day,moderate,False
scenario_105__on_road_following__v3,video_70.mp4,/scenarios/scenario_105.json,on_road_following,['none'],0,57.68,90.29,4.56,8.65,14.31,8.33,False,0,1,,none,medium,6.21,6.21,0.2086,0.219,0.07,night,good,False
scenario_106__on_road_following__v3,video_6.mp4,/scenarios/scenario_106.json,on_road_following,"['crossing_vehicle', 'interaction_present', 'stop']",3,63.58,102.65,2.44,6.44,0.37,5.49,True,1,0,0:01:39,rear_end,medium,4.56,4.56,0.639,0.41,1.0,day,good,False
scenario_107__intersection__v1,video_17.mp4,/scenarios/scenario_107.json,lane_change,"['stop', 'crossing_vehicle', 'pedestrian_near_ego_lane']",3,27.95,49.35,2.39,3.8,1.31,21.52,True,1,0,0:01:23,pedestrian,high,10.24,10.24,0.6315,0.419,0.763,day,poor,False
scenario_108__intersection__v2,video_33.mp4,/scenarios/scenario_108.json,roundabout,['none'],0,67.54,77.83,6.89,11.67,7.46,17.77,False,0,0,,none,medium,4.02,4.02,0.1982,0.145,0.134,day,poor,False
scenario_109__on_road_following__v1,video_40.mp4,/scenarios/scenario_109.json,on_road_following,['none'],0,56.22,87.33,4.8,9.28,11.29,16.26,False,0,0,,none,medium,6.98,6.98,0.2099,0.208,0.089,dusk_dawn,good,False
scenario_110__roundabout__v3,video_49.mp4,/scenarios/scenario_110.json,lane_change,['none'],0,58.83,90.81,10.6,14.65,10.14,7.62,False,0,0,,none,high,11.13,11.13,0.2273,0.094,0.099,dusk_dawn,good,False
scenario_111__on_road_following__v3,video_32.mp4,/scenarios/scenario_111.json,on_road_following,['none'],0,20.06,46.0,8.47,10.46,9.26,9.51,False,0,0,,none,high,8.17,8.17,0.2396,0.118,0.108,dusk_dawn,moderate,False
scenario_112__on_road_following__v3,video_6.mp4,/scenarios/scenario_112.json,roundabout,['none'],0,35.52,56.45,3.1,4.39,7.1,14.6,False,0,0,,none,medium,4.21,4.21,0.2711,0.322,0.141,dusk_dawn,moderate,False
scenario_113__roundabout__v1,video_65.mp4,/scenarios/scenario_113.json,roundabout,['none'],0,65.39,95.74,9.74,11.33,3.34,16.42,False,0,0,,none,medium,6.31,6.31,0.2312,0.103,0.3,day,moderate,False
scenario_114__lane_change__v1,video_56.mp4,/scenarios/scenario_114.json,roundabout,['none'],0,20.49,36.91,7.66,9.01,6.56,5.66,False,0,0,,none,medium,5.37,5.37,0.198,0.131,0.152,dusk_dawn,moderate,False
scenario_115__intersection__v2,video_23.mp4,/scenarios/scenario_115.json,roundabout,['none'],0,54.66,88.41,3.37,7.05,14.37,7.48,False,0,1,,none,medium,7.78,7.78,0.2398,0.297,0.07,dusk_dawn,poor,False
scenario_116__lane_change__v2,video_56.mp4,/scenarios/scenario_116.json,roundabout,['none'],0,63.55,93.54,10.22,12.57,12.59,6.6,False,0,1,,none,high,9.99,9.99,0.2229,0.098,0.079,night,good,False
